Key,Value
Tunnel Devil Entry,"이 크리처는 매우 좁은 터널에서 살고 사냥한다. 그 결과 다리와 날개는 퇴화한 반면 기어 다니고 죽이는 데 쓰는 팔은 비대해졌다. 근육이 너무 강력해 열을 방출하려고 혈관계 상당 부분이 몸 밖으로 드러나 있을 정도다.

자주 먹을 필요는 없어 일주일에 한 번가량 사냥하지만 굶주린 {tunnel_devil_name}은(는) 대단히 불안정하다. 약점을 감지하면 아군에게 달려들 수도 있다."
Lophotherium Entry,"잠들어 있지 않을 때 {lophotherium_name}은(는) 대개 곤충을 사냥하거나 동료에게 아무 물건이나 던지며 시간을 보낸다. 그저 짜증 나게 하려는 행동처럼 보인다.

다만 대부분의 동물보다 수면에서 얻는 것이 많은 듯하며, 타고난 게으름도 설명된다. 푹 쉬기만 해도 심각한 부상에서 놀라운 속도로 회복하는 모습을 보았다.

흥미롭게도 회복 대부분은 특별한 수면 단계에서 일어난다."
Rhino Entry,"이 독거성 크리처는 먼지 폭풍이 거의 끊이지 않는 심연 지층에 산다. 그런 환경에서는 방심하다 마주치기 쉽고, 극단적인 영역 본능을 생각하면 결코 좋은 일이 아니다.

가장 좋아하는 먹이는 주변에 흩어진 작은 선인장이다. 날씨가 바뀌면 땅속으로 숨는 특이한 능력이 있으니 폭풍이 오기 <i>전에</i> 채집해야 한다."
Crazoar Entry,"이 깊이에서는 {irontail_salamander_name}처럼 햇볕을 쬐는 것만으로 체온을 유지할 수 없다.

대신 전도성이 높은 혀로 온천, 마그마 암석, 갓 죽은 {heat_tiger}에게서 열을 끌어낸다. 마치 막대사탕을 핥듯이...

하지만 지나치게 열을 흡수하면 파괴적인 광란에 빠져 남은 열을 발산하려고 바위와 나무를 산산조각 낸다."
Equinos Entry,"이 작은 녀석보다 훨씬 위험한 크리처도 길들여 봤지만 놀랍게도 가장 붙잡아 두기 어려운 것은 바로 이 녀석이다.

심연의 야수는 대부분 부자연스러울 만큼 충직해 필요하면 목숨까지 희생한다.

하지만 {equinos_name}은(는) 다르다. 깊은 유대를 맺어도 결국 떠나고 만다. 개인적인 감정 때문은 아닐 것이다. 그저 자유를 향한 원초적 갈망이 있을 뿐이다. 솔직히 존중한다."
Tiger Zebra Entry,"{tiger_zebra_name}와(과)의 경험은 오래 기억에 남을 것이다.

키 큰 풀밭을 걷던 중 야생 개체가 갑자기 나타나 {woolly_tamaraw_name}이(가) 나를 기습하려는 순간 끼어들었다. 계속 관찰하자 작고 취약한 종을 포식자로부터 자주 지킨다는 사실을 알게 되었다. 보호받은 작은 크리처들은 가끔 먹이를 가져다주거나 등에 붙은 기생충을 떼어 보답한다. 

관찰할수록 이 생태계가 처음 생각한 것보다 훨씬 복잡하다는 사실이 분명해진다."
Mulaba Ray Entry,"낚시 실력이 있다면 심연 깊이 내려간 뒤 {mulaba_ray_name}은(는) 믿을 만한 식량원이 된다.

목이 잘리고 꼬챙이에 꿰인 물고기가 떠밀려 왔다면 호수에 이들이 있다는 뜻이다. 등 기관으로 움직임을 감지하니 물속에 들어가서는 안 된다. 창을 들고 기다려라. 대개 자정 무렵 물 위로 나온 식물을 먹으러 물가에 온다.

한 마리만 잘 잡아도 며칠을 먹을 수 있다. 단, 등 기관은 한 번에 4분의 1 넘게 먹으면 비타민 A 중독 위험이 있다."
Palm Tree Entry,"바람이 {palm_tree_name}의 잎을 스치면 부드러운 휘파람 소리가 나 독특한 음향 분위기를 만든다. 

잎뿐 아니라 선인장 같은 독특한 돌기도 있다. 처음에는 기생 식물인 줄 알았지만 모든 개체에서 보여 나무 자체의 자연스러운 일부인 듯하다.

특히 줄기 본체는 그다지 잘 보호되지 않아 실제 방어 효과가 있는지는 알기 어렵다. 늘 그렇듯 심연은 답보다 더 많은 질문을 남긴다."
Blue Greatshell Entry,"아! 운 좋게 한 마리를 손에 넣었다! 이제 아주 희귀한 {blue_greatshell_name}을(를) 가까이에서 연구할 수 있다.

색깔을 제외하면 이 크리처는 평범한 {greatshell_name}과(와) 똑같다. 이 돌연변이는 푸른 색소를 과도하게 만들어 내는 지상의 파란 바닷가재를 떠올리게 한다.

하지만 {blue_greatshell_name}의 돌연변이는 다른 방식으로 작용하는 듯하다. 돌연변이를 옮겨 다른 크리처도 파랗게 만들어 보려 했지만 실패했다... 혹시 색소가 많아서가 아니라 없어서 파란 것은 아닐까?"
Kai Titan Entry,"{kaikai_name}은(는) 극심한 스트레스를 받으면 이를 견디기 위해 자해 행동을 보이기도 한다. 아드레날린 반응을 일으키려는 것인지도 모른다.

하지만 상처가 충분히 심해지면 온몸이 완전한 변태를 거쳐 거대한 자연의 화신으로 탈바꿈한다!

그렇게 태어난 {kai_titan_name}은(는) 대개 스트레스의 원인이 된 상대를 물리칠 만큼 강력하다. 믿기 힘든 반응이지만 놀라울 정도로 효과적인 셈이다."
